URL,Creator's Tag,Black nav text?,Anime,Song,Artist
https://www.instagram.com/p/CH0TtD5AaQq/,Indesires,y,Your Lie In April,Run,Joji
https://www.instagram.com/p/CFC-tdUn-Vr/,Idealisms,n,After the Rain,See You Again (feat. Kali Uchis),"Tyler, The Creator"
https://www.instagram.com/p/CCRiOqbKMCZ/,mortysleeps,n,A Silent Voice,Play Date,Melanie Martinez
https://www.instagram.com/p/CC8-7tygk7Y/,lofipea,n,Neon Genesis Evangelion,I'd Rather Sleep,Kero Kero Bonito
https://www.instagram.com/p/CFfWXDrgw_o/,optiul,y,Erased,Slow Dancing in the Dark (slowed),Joji
https://www.instagram.com/p/CFsXf4xgMkt/,dazedlofi,n,The End of Evangelion,A World That's Ending,Datfootdive
https://www.instagram.com/p/CG8Cwmhg48y/,optiul,n,Another,My Little Dark Age,MGMT
https://www.instagram.com/p/CHqdbGbAXzc/,Idealisms,y,A Silent Voice,I Don't Trust Nobody,Shiloh Dynasty
https://www.instagram.com/p/CCrOSuIAfq5/,Idealisms,y,Your Name,One Off One,Cappuc
https://www.instagram.com/p/CBQrwyxAJ5t/,Idealisms,n,Demon Slayer,Walls (slowed),Sapientdream
https://www.instagram.com/p/CAqC04HgobT/,Idealisms,n,Demon Slayer,In Love,khai dreams
https://www.instagram.com/p/CH1zyl7g2HA/,lofiwae,n,Hyouka,Changes,aekasora
https://www.instagram.com/p/CHbDy0fDX4Z/,holdmyblues,y,Tokyo Ghoul,never (feat. o_super),mag.lo
https://www.instagram.com/p/CH0lv8YArbJ/,kiwi.nim,y,Toradora,AC,Alue
https://www.instagram.com/p/CHkjyi5ARH6/,mal1celust,n,Angels of Death,Laughing on the Outside,Bernadette Caroll
https://www.instagram.com/p/CHWbvBvAUuT/,krivspy,n,Rascal Does Not Dream of Bunny Girl Senpai,Birdie,Kota the Friend
https://www.instagram.com/p/CH11a4OAZFX/,lofi.syzn,y,Noragami,Big Poppa,The Notorious B.I.G
https://www.instagram.com/p/CH1UwbQg4iQ/,krivspy,y,Given,Warm (feat. Mia),Dre'es
https://www.instagram.com/p/CH1NZEvK_bd/,mortysleeps,n,Grave of the Fireflies,Without You,Strawberry Guy
https://www.instagram.com/p/CHqqTp9qnaz/,mortysleeps,y,Neon Genesis Evangelion,School Rooftop,Hisohkah
https://www.instagram.com/p/CGyGt5Nq0pD/,mortysleeps,n,Hunter x Hunter (1999),Mine,Secret Crates
https://www.instagram.com/p/CGBIIqLKa7q/,mortysleeps,n,Porco Rosso,Egyptian Pools (slowed),Jinsang
https://www.instagram.com/p/CH2rBtHgtXo/,cutchlofi,y,"Love, Chunibyo & Other Delusions",Being In Love With U ,Tomppabeats
https://www.instagram.com/p/CHtPF6MgO6A/,mal1celust,y,Your Lie In April,Best Friend,Rex Orange County
https://www.instagram.com/p/CHv-78pA5Tv/,mal1celust,n,Future Diary,Freak Show (feat. H3artcrush),Punkinloveee
https://www.instagram.com/p/CH0ibR0DGeV/,alue,n,Elfen Lied,My Little Dark Age,MGMT
https://www.instagram.com/p/CF9vagJizv7/,mono.lofi,n,Clannad,Deep Breath,Bad Scientist
https://www.instagram.com/p/CEhDJsKA5nb/,cutchlofi,n,Garden of Words,Drowning Sofa,Brockbeats
